Object ID,Launch Date,Mass (kg),Dimensions (m),Orbital Altitude (km),Orbital Inclination (degrees),Orbital Eccentricity,Velocity (km/s),Material Type,Collision Probability,Decay Date,Operational Status,Risk Factor,Region of Orbit
D42,1992-02-14,3942.51,2.4x3.2x0.2,39081.07,155.96,0.0171,2.68,Composite,0.0871,2014-09-23,Active,High,GEO
D43,2000-05-09,5576.77,1.7x4.0x1.4,4272.21,153.05,0.092,6.23,Polymer,0.0658,,Fragmented,Low,MEO
D44,2018-11-21,8205.71,1.5x2.8x1.5,28927.55,52.84,0.0425,5.87,Polymer,0.0114,1981-09-20,Active,Low,MEO
D45,1971-10-02,6709.82,1.4x1.7x2.2,23083.67,146.19,0.0886,5.0,Aluminum,0.0885,1993-08-12,Fragmented,High,MEO
D46,1985-11-12,8952.83,1.1x0.9x1.6,6150.53,62.51,0.0775,4.01,Titanium,0.0967,,Fragmented,Low,MEO
D47,1976-12-09,9989.64,3.7x2.1x0.3,13475.98,132.17,0.017,4.22,Polymer,0.0323,1976-05-27,Fragmented,Low,MEO
D48,1996-06-14,7348.36,1.9x2.1x3.7,38341.32,126.34,0.0539,3.55,Steel,0.0394,,Active,Medium,GEO
D49,2014-11-13,6173.85,4.2x0.5x1.3,6648.61,123.68,0.0657,2.48,Titanium,0.0452,2043-12-29,Inactive,Medium,MEO
D50,2020-06-25,9342.88,2.3x0.8x3.7,32541.31,30.45,0.0822,4.75,Composite,0.0597,,Inactive,High,MEO
D51,1980-01-03,5615.06,2.3x4.9x3.4,2724.21,41.96,0.0315,6.29,Aluminum,0.0654,1988-10-24,Active,Medium,MEO
D52,1961-10-18,7715.98,3.5x2.3x2.2,19006.64,174.86,0.0828,5.69,Steel,0.0762,1958-12-04,Inactive,High,MEO
D53,1970-08-02,2921.06,1.7x2.6x0.2,18455.01,5.68,0.0791,6.56,Aluminum,0.0534,,Inactive,Low,MEO
D54,1997-10-03,4060.08,2.2x2.1x0.7,1620.39,163.33,0.0371,3.26,Polymer,0.0628,1960-09-14,Inactive,High,LEO
D55,1971-06-24,5566.83,1.4x3.4x4.6,31475.84,41.98,0.0193,6.47,Polymer,0.0933,,Inactive,High,MEO
D56,2004-08-05,1488.19,0.7x2.3x3.9,17357.55,61.92,0.0648,5.27,Composite,0.0893,,Active,Low,MEO
D57,2008-09-19,3271.93,4.8x0.9x4.3,17602.38,24.86,0.0941,3.21,Composite,0.0448,,Inactive,Low,MEO
D58,1971-03-27,3706.69,2.1x0.3x3.8,23637.56,108.45,0.0126,7.45,Composite,0.0013,1972-09-01,Fragmented,High,MEO
D59,2005-05-13,3984.93,2.5x4.5x3.9,20170.29,110.09,0.0189,6.74,Titanium,0.082,,Fragmented,High,MEO
D60,1979-02-01,9986.31,1.3x3.4x4.7,4121.07,38.69,0.0072,2.8,Titanium,0.0427,,Active,Low,MEO
D61,2008-09-17,9412.35,3.5x0.3x3.2,7675.97,71.11,0.0539,6.38,Aluminum,0.0757,,Inactive,High,MEO
D62,2007-07-23,3414.0,0.9x3.4x0.8,16838.48,100.01,0.0435,3.05,Steel,0.0336,2023-08-24,Inactive,High,MEO
D63,1997-02-05,921.56,2.6x0.3x1.7,11372.61,116.29,0.095,7.18,Steel,0.0345,2040-11-23,Inactive,High,MEO
D64,1968-12-21,2005.62,2.3x3.9x4.5,34613.91,94.62,0.0483,5.31,Titanium,0.0232,2045-04-17,Fragmented,Medium,MEO
D65,1994-08-06,5910.52,3.7x0.3x3.1,13046.94,45.53,0.0903,5.11,Aluminum,0.0232,1986-04-05,Fragmented,Medium,MEO
D66,1958-05-22,6559.86,0.4x0.2x2.8,8462.08,60.47,0.0001,3.18,Steel,0.0756,2033-12-28,Inactive,Low,MEO
D67,1999-10-09,8535.96,1.9x0.2x3.0,11599.0,23.02,0.0579,2.22,Composite,0.0005,2040-03-13,Fragmented,High,MEO
D68,2009-08-20,8482.51,3.3x1.6x1.1,26947.77,127.28,0.08,5.99,Aluminum,0.0127,,Inactive,Low,MEO
D69,1967-05-13,6966.36,2.2x4.0x3.7,37360.17,70.44,0.0501,6.02,Aluminum,0.0437,,Fragmented,High,GEO
D70,2006-02-12,5727.99,4.9x4.5x2.9,29979.36,59.47,0.0723,3.68,Steel,0.0448,2033-04-07,Inactive,Low,MEO
D71,1957-11-30,1375.74,0.5x2.1x2.3,35427.29,16.79,0.0373,5.7,Titanium,0.0029,1971-04-25,Fragmented,High,MEO
D72,2017-02-12,7830.72,3.2x3.9x2.4,9646.11,119.97,0.0784,2.94,Composite,0.0653,2014-05-03,Fragmented,Medium,MEO
D73,2014-05-03,645.08,2.6x1.8x3.6,36728.11,148.03,0.0409,2.33,Aluminum,0.0798,2011-11-12,Fragmented,High,GEO
D74,1985-07-14,4867.17,4.8x1.6x3.7,13951.65,169.02,0.0504,7.61,Titanium,0.0207,2001-11-26,Active,Low,MEO
D75,2006-12-07,3428.95,1.2x3.5x1.8,38051.42,0.97,0.0169,4.28,Polymer,0.0284,2046-01-24,Fragmented,Medium,GEO
D76,1959-05-19,2861.83,0.8x0.4x1.6,10688.9,70.45,0.0639,4.61,Polymer,0.0095,2046-03-22,Active,High,MEO
D77,1965-02-18,1698.12,2.8x4.8x1.6,2039.11,123.57,0.0315,3.36,Polymer,0.0225,,Inactive,High,MEO
D78,2016-08-21,2892.65,4.2x4.3x3.8,26536.23,108.84,0.0376,6.4,Composite,0.0671,1969-09-12,Inactive,Medium,MEO
D79,1972-10-26,4099.69,0.3x1.0x1.2,28230.23,152.49,0.0673,5.79,Composite,0.0439,1985-03-19,Fragmented,Medium,MEO
D80,2009-09-07,7415.45,1.3x3.4x2.7,17876.23,55.19,0.0074,4.37,Polymer,0.0898,1970-12-10,Fragmented,Low,MEO
D81,1970-05-21,1059.74,2.6x4.4x2.4,26677.56,18.77,0.0817,3.47,Composite,0.038,1996-08-18,Inactive,Low,MEO
D82,1991-11-29,5887.34,4.2x2.0x2.5,24379.2,80.74,0.0907,4.94,Aluminum,0.0617,2006-10-11,Fragmented,High,MEO
D83,1971-09-05,7138.04,2.4x0.8x4.6,2407.88,83.08,0.0507,4.24,Aluminum,0.0935,2017-06-20,Fragmented,Low,MEO
D84,2000-04-06,8635.38,1.7x3.3x3.0,36582.66,92.77,0.046,6.92,Polymer,0.0278,2027-09-18,Fragmented,Low,GEO
D85,1966-02-10,2203.86,2.3x1.8x0.5,3937.05,160.71,0.021,4.09,Titanium,0.0289,1960-07-28,Fragmented,Low,MEO
D86,1963-04-29,7570.83,3.2x3.3x4.5,5482.41,103.15,0.0268,3.32,Titanium,0.0202,1983-11-08,Active,Medium,MEO
D87,1975-02-06,8659.02,3.3x4.3x2.1,34957.34,35.93,0.0439,3.16,Steel,0.0083,1977-08-24,Inactive,Low,MEO
D88,1978-09-03,2085.13,4.3x0.7x0.4,2775.7,125.49,0.0453,5.8,Aluminum,0.0245,,Fragmented,Low,MEO
D89,1973-06-29,7118.72,3.0x1.0x4.5,22833.07,18.12,0.0039,3.16,Aluminum,0.0449,2036-02-29,Active,High,MEO
D90,1977-03-17,7436.73,3.2x2.1x0.5,8627.63,171.27,0.0272,5.71,Titanium,0.0956,2016-02-12,Active,High,MEO
D91,1984-03-01,4218.08,0.6x4.9x2.5,2408.99,159.58,0.083,7.93,Steel,0.0802,,Fragmented,Low,MEO
D92,1966-10-15,5205.29,1.8x2.2x3.9,13383.83,40.08,0.0393,2.15,Aluminum,0.0206,2050-04-27,Active,High,MEO
D93,2005-09-17,149.44,2.5x3.1x3.1,27369.17,48.58,0.0902,3.08,Steel,0.0015,2026-07-17,Fragmented,Medium,MEO
D94,2020-07-04,1378.73,4.4x4.6x0.9,25123.44,45.96,0.0388,3.3,Aluminum,0.0984,1961-10-09,Fragmented,Low,MEO
D95,1969-11-05,8217.3,3.6x0.4x3.5,25925.63,75.68,0.0238,4.66,Steel,0.0939,,Active,High,MEO
D96,1964-11-12,1986.33,3.5x1.9x3.6,34787.86,155.4,0.0655,3.81,Polymer,0.0716,2045-03-23,Inactive,Medium,MEO
D97,2016-06-10,3403.93,4.4x4.1x4.9,19432.29,95.56,0.0195,4.63,Titanium,0.0617,2013-07-18,Fragmented,High,MEO
D98,2024-06-26,492.56,3.7x4.2x0.8,29886.91,126.41,0.0901,3.08,Aluminum,0.0327,,Active,Medium,MEO
D99,1999-04-23,5532.37,4.9x3.5x4.3,3255.55,79.91,0.0593,7.2,Steel,0.0961,1978-06-24,Inactive,Low,MEO
D100,2009-12-27,8991.18,3.9x3.3x4.8,22209.44,107.57,0.0328,3.9,Polymer,0.0124,,Inactive,Low,MEO
D101,1961-12-02,9921.59,4.5x4.0x3.2,37911.95,99.44,0.0449,6.07,Steel,0.0243,1978-07-01,Inactive,Medium,GEO
D102,1988-03-29,9871.24,2.7x2.3x2.8,19825.24,174.6,0.0008,7.32,Steel,0.0441,1966-07-16,Inactive,Low,MEO
D103,2024-11-01,8521.34,4.0x2.6x1.7,18792.6,131.63,0.0797,2.33,Polymer,0.0463,1986-02-28,Inactive,High,MEO
D104,1959-10-23,3364.19,2.5x1.7x3.2,32219.27,114.4,0.0282,6.92,Steel,0.0403,2011-05-31,Fragmented,Low,MEO
D105,1980-01-13,2912.26,1.0x1.8x1.2,39323.96,166.89,0.0424,3.98,Polymer,0.0968,,Fragmented,Medium,GEO
D106,1970-12-09,5892.09,1.4x0.7x0.9,23695.59,78.16,0.0569,5.47,Titanium,0.002,1979-09-27,Inactive,Medium,MEO
D107,2006-07-14,8069.83,2.8x3.2x0.8,31461.85,9.1,0.0411,2.12,Composite,0.0077,2019-09-07,Fragmented,Low,MEO
D108,2008-02-15,8802.75,5.0x1.6x1.8,4680.74,171.35,0.0291,2.87,Aluminum,0.0569,,Active,High,MEO
D109,2012-11-23,6537.57,2.7x1.6x2.4,32873.31,22.79,0.0442,4.32,Titanium,0.0641,2028-04-09,Inactive,Medium,MEO
D110,1959-08-23,1630.26,5.0x3.3x1.3,33326.74,140.03,0.051,3.89,Polymer,0.0437,1981-06-11,Inactive,High,MEO
D111,1981-09-15,7990.08,4.6x2.7x1.6,28163.46,169.95,0.0221,3.55,Steel,0.0967,2024-06-23,Fragmented,Low,MEO
D112,1969-01-07,3770.79,1.0x4.1x2.0,35140.04,83.76,0.0098,3.63,Aluminum,0.0703,2020-04-21,Inactive,Low,MEO
D113,2012-01-05,6120.06,3.5x0.2x2.0,9067.4,151.41,0.046,7.26,Composite,0.0768,2001-01-17,Fragmented,Medium,MEO
D114,2010-01-16,4713.47,4.0x2.2x4.2,17950.14,33.84,0.065,3.98,Steel,0.0269,,Active,High,MEO
D115,1993-07-28,2903.4,1.2x2.5x4.2,20090.77,178.03,0.0027,2.58,Composite,0.0546,2025-10-17,Fragmented,Medium,MEO
D116,2020-01-29,9336.01,2.6x3.9x4.8,16563.66,125.82,0.0814,3.23,Composite,0.0298,2008-05-18,Fragmented,Low,MEO
D117,2006-09-03,7075.67,0.5x2.4x0.1,14649.19,57.59,0.0685,6.93,Aluminum,0.052,1966-03-23,Fragmented,High,MEO
D118,1985-01-16,6767.58,2.1x1.8x0.9,33236.88,165.53,0.0992,4.91,Composite,0.0197,1962-11-14,Active,High,MEO
D119,2010-04-30,1106.52,2.7x4.5x1.3,8628.42,77.68,0.069,5.0,Polymer,0.0351,2019-11-23,Fragmented,Medium,MEO
D120,1969-12-18,8833.45,3.5x3.5x2.1,34633.67,72.9,0.0208,7.64,Composite,0.0807,1965-06-19,Active,High,MEO
D121,2004-08-08,8109.81,2.9x2.9x4.2,22912.69,48.71,0.0518,5.7,Polymer,0.0538,,Inactive,High,MEO
D122,1959-11-30,7480.11,0.8x1.3x4.2,16263.53,46.69,0.0275,5.4,Steel,0.006,2040-03-30,Inactive,Medium,MEO
D123,2015-07-09,4667.68,2.4x1.4x3.7,7556.21,19.77,0.0343,7.75,Titanium,0.0413,1999-03-29,Fragmented,Low,MEO
D124,1972-05-09,5062.03,3.7x1.9x2.4,18929.12,154.5,0.0752,5.59,Composite,0.0819,2019-01-15,Fragmented,Low,MEO
D125,1998-08-17,7461.3,2.0x1.3x0.9,8185.47,111.7,0.0436,4.98,Titanium,0.093,1997-01-06,Inactive,High,MEO
D126,1971-02-19,81.2,3.7x1.1x3.2,16769.12,21.92,0.0985,6.21,Polymer,0.0084,2018-09-06,Fragmented,Medium,MEO
D127,1996-07-07,1519.74,3.4x1.7x2.4,23457.3,55.13,0.0217,2.37,Polymer,0.0445,,Active,High,MEO
D128,2006-05-24,7836.13,2.3x4.6x4.2,35040.42,33.83,0.0052,6.85,Polymer,0.0147,2026-10-13,Active,Medium,MEO
D129,2015-05-03,2866.46,4.5x3.3x3.0,24730.78,38.81,0.0467,2.81,Aluminum,0.0195,,Inactive,High,MEO
D130,2001-10-26,9933.04,3.8x2.0x3.8,9447.03,158.77,0.0859,3.39,Steel,0.0237,,Fragmented,Low,MEO
D131,2003-02-12,7915.55,1.4x0.8x3.3,16569.99,98.95,0.0173,4.35,Composite,0.0424,,Active,High,MEO
D132,2013-08-18,6654.23,4.4x4.3x3.6,11914.96,173.09,0.029,2.61,Steel,0.0952,,Inactive,Medium,MEO
D133,1988-07-29,9782.71,0.7x0.2x2.3,36367.26,62.98,0.0073,7.87,Titanium,0.009,2014-01-12,Inactive,High,GEO
D134,2024-04-18,3551.07,1.1x4.4x3.3,21036.75,78.86,0.0274,7.94,Aluminum,0.05,2048-06-07,Active,Medium,MEO
D135,1958-03-30,2730.91,1.6x3.6x2.5,34725.3,92.64,0.0061,7.05,Polymer,0.0956,2004-11-24,Active,Low,MEO
D136,1997-09-20,4824.16,0.3x3.4x0.5,16025.53,100.29,0.0065,6.61,Composite,0.0408,1961-12-26,Fragmented,Medium,MEO
D137,2019-09-06,1584.68,4.2x0.3x3.2,38939.31,103.69,0.0354,3.78,Aluminum,0.0491,2012-04-26,Active,High,GEO
D138,1974-10-05,7854.47,2.5x2.5x3.8,9034.79,112.93,0.0967,7.16,Steel,0.0815,1986-11-30,Active,High,MEO
D139,2008-01-09,3985.73,0.9x2.8x3.9,23897.06,32.47,0.0396,3.21,Polymer,0.092,1994-11-18,Active,High,MEO
D140,2002-02-18,2523.33,0.4x3.5x0.8,25025.47,29.8,0.0949,3.08,Steel,0.0768,1998-07-11,Fragmented,Medium,MEO
D141,1991-08-26,5614.48,0.8x4.9x4.3,14134.43,90.67,0.0213,3.47,Polymer,0.08,2014-10-03,Inactive,Medium,MEO
D142,1961-01-03,2230.42,1.3x3.4x2.8,14621.41,75.11,0.0281,7.79,Titanium,0.0285,,Inactive,Low,MEO
D143,1978-08-28,1597.27,3.8x2.5x2.5,5147.8,87.4,0.0857,7.3,Aluminum,0.0895,1969-03-20,Inactive,High,MEO
D144,2006-07-20,3781.31,0.2x2.2x2.7,6176.57,123.05,0.078,3.38,Composite,0.0523,1977-05-13,Inactive,Low,MEO
D145,2006-08-23,285.01,4.7x5.0x4.1,9280.04,64.77,0.089,3.57,Aluminum,0.0104,2016-02-25,Fragmented,High,MEO
D146,1969-06-24,5290.87,3.5x0.6x2.1,33360.35,149.59,0.0176,2.59,Aluminum,0.0119,2043-04-05,Fragmented,Medium,MEO
D147,2001-01-18,4005.4,3.4x3.6x2.1,11532.65,24.4,0.097,5.37,Titanium,0.0339,2016-07-15,Inactive,Low,MEO
D148,2011-10-15,8477.79,4.6x1.2x1.1,25046.74,14.32,0.0225,3.8,Titanium,0.0055,2034-08-18,Inactive,High,MEO
D149,2019-11-02,4540.51,2.7x1.1x1.0,37933.76,37.03,0.0696,4.75,Polymer,0.0933,2039-05-11,Inactive,High,GEO
D150,2001-04-30,4075.11,3.1x2.9x3.1,8019.11,14.75,0.0775,4.86,Composite,0.0748,,Fragmented,Medium,MEO
D151,2000-06-10,3586.27,0.3x0.9x2.4,15134.56,162.87,0.0553,7.35,Composite,0.0373,1990-01-21,Fragmented,Low,MEO
D152,1979-10-30,447.57,1.3x1.4x2.8,9037.16,37.87,0.0062,7.55,Aluminum,0.0244,2024-05-24,Inactive,Low,MEO
D153,2016-08-19,5352.33,0.6x1.1x3.8,30396.32,78.77,0.0165,2.59,Composite,0.019,1987-08-27,Active,Low,MEO
D154,1979-09-21,5155.17,3.0x1.5x0.7,39953.04,132.59,0.0135,6.0,Titanium,0.0696,1968-10-12,Active,Low,GEO
D155,1958-02-01,7103.3,3.4x2.2x0.7,32972.16,71.02,0.0877,3.46,Steel,0.0232,,Active,Low,MEO
D156,1999-03-11,8159.23,2.1x0.2x0.6,2032.45,7.15,0.0101,5.22,Polymer,0.0058,,Fragmented,High,MEO
D157,2010-03-11,2602.82,1.5x4.1x4.5,9289.66,10.81,0.0999,5.56,Aluminum,0.0726,2019-02-01,Inactive,Low,MEO
D158,1998-06-15,7612.32,4.2x4.6x4.2,26368.43,44.41,0.0213,3.4,Aluminum,0.0169,1963-12-31,Inactive,Low,MEO
D159,1960-03-05,726.12,1.2x4.4x0.5,23265.91,167.93,0.0094,5.01,Titanium,0.0705,2032-07-19,Active,Medium,MEO
D160,1972-01-23,6109.56,1.6x0.2x1.6,28429.13,168.27,0.0227,4.13,Titanium,0.0067,2043-12-06,Fragmented,Low,MEO
D161,1985-02-21,5572.28,1.5x0.2x0.5,5175.96,17.76,0.0983,3.96,Steel,0.0932,1995-07-10,Fragmented,Medium,MEO
D162,1979-07-29,1875.15,4.6x3.8x3.2,35000.35,12.98,0.0333,7.98,Titanium,0.086,2022-10-28,Inactive,Medium,MEO
D163,1991-09-22,8187.47,0.4x4.0x0.9,34051.11,57.46,0.0859,2.74,Aluminum,0.0406,,Inactive,Low,MEO
D164,2012-01-25,3300.77,1.1x1.3x1.5,12742.39,93.11,0.0512,3.84,Titanium,0.0382,1960-09-16,Inactive,Low,MEO
D165,1976-06-08,9354.12,2.7x2.4x0.8,28061.15,170.92,0.0107,4.73,Polymer,0.0897,2006-03-25,Inactive,Low,MEO
D166,2020-10-26,8377.64,2.0x2.8x1.4,17081.19,44.75,0.0556,6.58,Composite,0.0547,2040-12-10,Fragmented,Medium,MEO
D167,1991-09-01,8357.01,0.8x2.1x3.0,28367.94,64.36,0.0234,5.84,Titanium,0.074,1980-10-05,Fragmented,Medium,MEO
D168,2007-07-31,5727.12,2.8x1.7x3.4,9149.41,34.62,0.0616,7.05,Titanium,0.0449,2024-03-08,Active,Low,MEO
D169,2024-05-13,8252.77,4.1x4.5x2.8,25965.02,75.26,0.0707,4.54,Polymer,0.0543,1980-02-02,Inactive,Low,MEO
D170,2018-12-04,9102.43,4.1x3.2x4.9,8610.96,22.5,0.0773,6.57,Aluminum,0.0547,2008-05-30,Active,High,MEO
D171,1959-10-07,1291.57,2.6x1.0x2.8,13457.64,150.88,0.0194,2.82,Polymer,0.0259,2011-04-29,Active,Medium,MEO
D172,1991-12-27,336.72,4.6x0.9x4.5,18602.95,22.98,0.0711,7.69,Composite,0.0363,,Fragmented,Low,MEO
D173,2003-04-06,192.41,3.9x1.8x1.4,9391.03,3.08,0.079,2.34,Steel,0.0192,1960-05-28,Active,High,MEO
D174,2002-11-14,5314.78,4.9x0.6x0.6,12108.99,5.24,0.0307,6.25,Steel,0.0452,,Fragmented,Low,MEO
D175,2010-01-09,8435.7,0.8x1.9x2.2,1949.44,76.46,0.0753,3.05,Polymer,0.0073,2016-12-15,Active,Low,LEO
D176,1968-08-30,7670.38,4.2x1.8x3.4,7459.19,95.72,0.0774,4.66,Polymer,0.0531,,Fragmented,High,MEO
D177,2024-06-16,5590.76,2.4x4.7x4.6,14942.95,105.35,0.036,7.1,Titanium,0.0555,,Active,High,MEO
D178,1963-02-12,4199.01,1.1x2.8x0.3,28810.52,121.45,0.0002,7.37,Polymer,0.0905,2012-01-08,Active,Medium,MEO
D179,1987-06-22,389.55,4.3x3.2x2.8,34615.93,76.63,0.0179,5.72,Polymer,0.076,2002-07-02,Inactive,Low,MEO
D180,1958-02-06,7879.1,2.7x0.8x0.7,30751.03,162.5,0.051,2.92,Aluminum,0.0569,2019-04-26,Active,Medium,MEO
D181,1958-10-09,6860.62,2.8x1.9x4.6,8915.09,50.76,0.0584,6.16,Polymer,0.0357,1984-11-16,Fragmented,Medium,MEO
D182,1959-10-15,7222.85,0.6x2.0x1.8,33861.04,104.66,0.0972,7.1,Polymer,0.084,1988-03-07,Active,Low,MEO
D183,1995-10-14,2894.0,3.9x1.5x1.6,1187.03,128.65,0.0924,6.17,Composite,0.0683,1973-04-14,Inactive,High,LEO
D184,2008-12-27,7680.53,3.3x0.7x1.4,3884.04,61.03,0.0799,6.19,Composite,0.0085,,Active,Medium,MEO
D185,1995-02-27,1454.06,2.5x2.9x3.2,1276.29,69.9,0.0572,2.43,Polymer,0.0534,2025-10-06,Active,Low,LEO
D186,1965-05-30,4954.71,1.6x1.7x4.1,35634.32,101.65,0.0371,7.47,Aluminum,0.0951,1992-09-29,Fragmented,Low,MEO
D187,1981-10-29,7614.66,4.9x1.1x2.6,36897.83,20.27,0.0991,5.38,Aluminum,0.02,2048-09-17,Fragmented,Low,GEO
D188,1964-01-19,9909.65,0.7x1.3x4.1,17081.14,156.56,0.0264,4.45,Steel,0.0614,1979-06-21,Inactive,Medium,MEO
D189,1971-04-27,4079.78,0.7x4.8x2.2,6389.48,4.1,0.0276,5.81,Aluminum,0.0304,1979-08-21,Fragmented,High,MEO
D190,1979-06-23,3389.59,0.7x3.3x4.2,963.28,141.3,0.0604,4.92,Composite,0.0191,1977-05-24,Inactive,Low,LEO
D191,2012-04-27,2223.81,4.1x1.5x2.7,11245.96,57.69,0.0404,4.63,Aluminum,0.0737,2032-05-06,Inactive,Medium,MEO
